"['00026', '2015-12', '67.3026', '0.3285', '0.0', '244.0', '12.63', '4.06']","['00026', '2016-06', '64.8447', '3.5629', '0.0', '771.0', '19.58', '12.64']","['00026', '2016-12', '70.8511', '12.7633', '3.44', '678.0', '14.81', '10.43']","['00026', '2017-06', '96.5982', '-2.0885', '0.84', '1386.0', '21.69', '15.11']","['00026', '2017-12', '93.897', '0.5286', '0.54', '794.0', '13.65', '13.65']","['00026', '2018-06', '91.988', '-3.5828', '0.29', '2080.0', '19.4', '12.7']","['00026', '2018-12', '91.3963', '0.6492', '0.36', '915.0', '11.85', '7.7']"
"['00027', '2015-12', '18.8576', '4.5337', '0.0', '97.8', '0.91', '0.9']","['00027', '2016-06', '21.1867', '-5.8502', '0.0', '60.0', '1.14', '1.13']","['00027', '2016-12', '28.1161', '4.4355', '22.68', '147.3', '1.2', '1.19']","['00027', '2017-06', '38.1445', '4.7239', '20.84', '108.3', '1.02', '1.01']","['00027', '2017-12', '49.8057', '7.5018', '16.39', '245.1', '0.74', '0.74']","['00027', '2018-06', '56.9226', '-10.3207', '17.04', '167.0', '0.5', '0.49']","['00027', '2018-12', '39.9632', '0.1558', '23.05', '312.8', '0.77', '0.76']"
"['00028', '2015-12', '3.5221', '0.101', '9.32', '172.56', '1.41', '0.7']","['00028', '2016-06', '3.3292', '0.1736', '0.25', '34.06', '1.59', '0.72']","['00028', '2016-12', '3.5095', '0.288', '1.68', '379.0', '2.03', '1.23']","['00028', '2017-06', '4.6858', '-0.5852', '1.52', '110.91', '2.24', '1.31']","['00028', '2017-12', '4.6584', '-0.4485', '2.02', '136.0', '2.23', '1.36']","['00028', '2018-06', '3.9618', '-0.4579', '0.86', '55.54', '2.19', '1.38']","['00028', '2018-12', '3.5417', '0.0198', '0.55', '83.0', '1.61', '0.84']"
"['00029', '2015-12', '2.674', '0.9132', '1.94', '23.73', '1.71', '1.62']","['00029', '2016-06', '2.7389', '-0.0649', '2.11', '42.7', '0.95', '0.9']","['00029', '2016-12', '4.4837', '-0.0394', '2.98', '25.8', '0.99', '0.94']","['00029', '2017-06', '6.8065', '-0.4938', '4.38', '51.4', '1.92', '1.83']","['00029', '2017-12', '7.2393', '-0.0867', '2.81', '35.05', '1.98', '1.89']","['00029', '2018-06', '7.2308', '-0.0441', '2.64', '56.0', '2.3', '2.19']","['00029', '2018-12', '5.9729', '1.6054', '3.48', '19.69', '2.3', '2.2']"
"['00030', '2015-09', '0.1092', '-0.12', '86.34', '-0.98', '2.26', '2.26']","['00030', '2016-03', '0.1147', '-0.03', '15.01', '-1.58', '9.23', '9.23']","['00030', '2016-09', '0.0854', '0.04', '18.16', '-0.18', '7.27', '7.27']","['00030', '2017-03', '0.111', '0.14', '93.71', '-6.04', '3.91', '3.91']","['00030', '2017-09', '0.228', '0.04', '196.47', '0.12', '2.86', '2.86']","['00030', '2018-03', '0.2', '-0.01', '5.83', '-0.03', '4.04', '4.04']","['00030', '2018-09', '0.168', '0.0', '4.48', '0.34', '5.03', '5.03']"
"['00031', '2015-12', '0.9354', '0.01', '23.7', '31.92', '1.2', '1.1']","['00031', '2016-06', '0.8414', '-0.07', '8.46', '20.1', '1.04', '0.94']","['00031', '2016-12', '0.8887', '-0.04', '8.21', '25.81', '1.41', '1.25']","['00031', '2017-06', '0.945', '-0.02', '8.79', '6.53', '1.13', '0.97']","['00031', '2017-12', '0.8486', '-0.09', '9.86', '15.76', '1.21', '1.05']","['00031', '2018-06', '0.73', '-0.1', '4.57', '5.32', '1.88', '1.59']","['00031', '2018-12', '0.475', '-0.12', '8.55', '13.1', '2.24', '1.95']"
"['00032', '2015-12', '9.087', '0.07', '1.89', '166.0', '8.65', '8.65']","['00032', '2016-06', '9.2329', '0.44', '1.72', '33.0', '8.64', '8.64']","['00032', '2016-12', '9.7379', '0.79', '3.01', '110.0', '8.85', '8.85']","['00032', '2017-06', '10.7949', '0.26', '1.16', '150.0', '10.05', '10.05']","['00032', '2017-12', '11.8812', '0.72', '2.46', '317.0', '10.68', '10.67']","['00032', '2018-06', '12.4048', '0.38', '0.84', '-34.0', '5.46', '5.46']","['00032', '2018-12', '11.64', '-1.3', '2.86', '120.0', '5.08', '5.08']"
"['00033', '2015-12', '0.103', '-0.03', '14.86', '-1.14', '6.26', '5.65']","['00033', '2016-06', '0.165', '0.07', '45.09', '-0.56', '38.63', '38.04']","['00033', '2016-12', '0.112', '-0.02', '6.09', '-1.28', '3.91', '3.86']","['00033', '2017-06', '0.061', '0.07', '18.59', '-0.58', '3.33', '3.27']","['00033', '2017-12', '0.067', '0.04', '16.82', '-1.51', '2.44', '2.25']","['00033', '2018-06', '0.08', '-0.01', '4.16', '-0.91', '1.74', '1.57']","['00033', '2018-12', '0.034', '-0.01', '9.92', '-1.1', '0.0', '0.0']"
"['00034', '2015-12', '6.0085', '-0.96', '1.59', '104.0', '2.1', '0.31']","['00034', '2016-06', '5.5098', '0.11', '0.7', '25.0', '1.98', '0.35']","['00034', '2016-12', '5.9974', '-0.16', '0.69', '82.0', '1.69', '0.32']","['00034', '2017-06', '6.8872', '0.71', '4.51', '36.0', '1.36', '0.24']","['00034', '2017-12', '7.3724', '-0.27', '0.86', '141.0', '1.5', '0.29']","['00034', '2018-06', '7.6662', '-0.04', '1.52', '90.0', '1.45', '0.3']","['00034', '2018-12', '7.6762', '0.11', '1.34', '186.0', '1.83', '0.42']"
"['00035', '2015-09', '2.2259', '-0.6', '3.78', '13.7', '1.79', '0.87']","['00035', '2016-03', '1.8637', '-0.38', '4.09', '37.0', '2.12', '0.78']","['00035', '2016-09', '2.0945', '0.7', '4.14', '32.0', '2.67', '1.15']","['00035', '2017-03', '2.9225', '0.28', '2.91', '51.0', '2.57', '1.09']","['00035', '2017-09', '3.6888', '-0.09', '3.56', '46.0', '1.9', '0.8']","['00035', '2018-03', '3.7672', '-0.43', '2.52', '69.0', '2.01', '0.92']","['00035', '2018-09', '3.5685', '-0.36', '2.55', '26.8', '2.46', '0.97']"
